airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,Command_fault,Command
24.888819,-229.234024,-228.040573,3.021048,0.684632,2.691191,-0.414891,-229.999863,-230,17.857527,5.90E-05,1.67E-04,297.864319,103.27372,0.043726,-0.031085,-1672.706787,0,0,0,0,0,, takeoff
24.888367,-234.864899,-233.671463,3.027341,0.701966,2.692283,-0.414895,-229.999863,-230,17.857538,5.70E-05,0.011523,297.863464,100.205795,0.043718,-0.028007,-1673.190918,0,0,0,0,0,, takeoff
24.893175,-242.978104,-241.784653,2.856053,0.092993,2.703614,-0.415136,-239.999863,-240,17.857601,6.40E-05,0.006163,297.862122,96.011108,0.043607,-0.02412,-1673.903809,-0.010028,0.053846,4.30E-05,0,1,, takeoff
24.888359,-248.387985,-247.194534,2.747835,-0.250189,2.697953,-0.416462,-239.999863,-240,17.857582,1.01E-04,-0.019461,297.861267,93.38649,0.043458,-0.021862,-1674.311523,-0.001328,0.054072,1.10E-04,0,1,, takeoff
24.896599,-256.502899,-255.309448,2.664034,-0.42201,2.664034,-0.42201,-249.999863,-250,17.857477,7.79E-04,-0.006331,297.859863,89.744293,0.043707,-0.018978,-1674.795166,0.003574,0.053959,1.53E-04,0,1,, takeoff
24.893269,-261.913788,-263.425049,2.656564,-0.43237,2.656564,-0.43237,-259.999847,-260,17.857569,0.004325,0.041334,297.857819,86.491211,0.044631,-0.016707,-1675.159058,0.006029,0.053281,2.23E-04,0,1,, takeoff
24.906845,-270.029663,-268.836212,2.664434,-0.44153,2.664434,-0.44153,-269.999847,-270,17.857758,0.009896,0.071447,297.855591,84.554497,0.045315,-0.015563,-1675.360107,0.00612,0.053115,2.84E-04,0,1,, takeoff
24.918575,-278.153137,-276.959686,2.683856,-0.457297,2.683856,-0.457297,-269.999847,-270,17.858221,0.025808,0.113116,297.850159,82.015015,0.046631,-0.014436,-1675.793701,0.006308,0.053289,4.36E-04,0,1,, takeoff
24.935925,-283.563385,-282.369934,2.698232,-0.468278,2.698232,-0.468278,-279.999847,-280,17.858646,0.043058,0.140616,297.844452,80.572792,0.047436,-0.014121,-1675.822388,0.006533,0.053677,7.08E-04,0,1,, takeoff
24.338493,-291.606415,-290.412994,2.718529,-0.484139,2.718529,-0.484139,-289.999847,-290,17.859468,0.081409,0.188181,297.831604,78.79229,0.049735,-0.014375,-1672.948364,0.00669,0.053965,9.93E-04,0,1,, takeoff
22.093102,-296.155823,-294.962372,2.730603,-0.493675,2.730603,-0.493675,-289.999847,-290,17.860149,0.116533,0.220605,297.819366,77.861435,0.051454,-0.01508,-1640.112549,0.006916,0.054371,0.001636,0,1,, takeoff
19.183947,-301.475067,-300.281647,2.745357,-0.50579,2.745357,-0.50579,-299.999847,-300,17.861393,0.18523,0.276543,297.795471,76.846031,0.053063,-0.016831,-1538.441528,0.007052,0.054612,0.002248,0,1,, takeoff
17.668694,-304.018677,-302.825226,2.752787,-0.511826,2.752787,-0.511826,-299.999847,-300,17.862297,0.237296,0.313423,297.777252,76.446541,0.053884,-0.018313,-1453.42981,0.007226,0.054907,0.003442,0,1,, takeoff
15.549929,-307.368347,-306.174896,2.762443,-0.519695,2.762443,-0.519695,-309.999847,-310,17.864084,0.342959,0.380649,297.742188,76.140663,0.055209,-0.021151,-1282.328491,0.007312,0.055056,0.004353,0,1,, takeoff
13.988593,-309.767822,-308.574371,2.769501,-0.524979,2.769501,-0.524979,-309.999847,-310,17.866171,0.468135,0.452331,297.703491,76.263824,0.05601,-0.02415,-1091.526611,0.007424,0.055249,0.006107,0,1,, takeoff
13.212522,-311.008942,-309.815491,2.77325,-0.527425,2.77325,-0.527425,-309.999847,-310,17.867764,0.56399,0.501335,297.676422,76.562988,0.056428,-0.026082,-955.298157,0.0075,0.05539,0.008041,0,1,, takeoff
12.426282,-312.459076,-311.265625,2.777747,-0.529851,2.777747,-0.529851,-309.999847,-310,17.870466,0.726375,0.578175,297.637421,77.313812,0.056832,-0.028319,-743.141663,0.007535,0.055465,0.009395,0,1,, takeoff
12.13588,-313.20874,-312.015289,2.780397,-0.530808,2.780397,-0.530808,-309.999847,-310,17.872482,0.846941,0.630228,297.612976,78.000458,0.057093,-0.029378,-600.121338,0.007569,0.055555,0.011345,0,1,, takeoff
12.008914,-314.063141,-312.86969,2.783835,-0.531561,2.783835,-0.531561,-309.999847,-310,17.875736,1.040166,0.707168,297.582367,79.241814,0.057442,-0.029898,-397.446594,0.007583,0.055608,0.012567,0,1,, takeoff
12.10373,-314.536072,-313.342621,2.786227,-0.531695,2.786227,-0.531695,-309.999847,-310,17.878292,1.190609,0.764212,297.564392,80.284485,0.057823,-0.029611,-266.241608,0.007594,0.055677,0.014098,0,1,, takeoff
12.456547,-315.063171,-313.86972,2.789557,-0.531516,2.789557,-0.531516,-309.999847,-310,17.882311,1.425027,0.843698,297.545563,81.982323,0.058519,-0.028119,-128.186203,0.007596,0.055725,0.014996,0,1,, takeoff
13.005755,-315.451263,-314.257813,2.792996,-0.530911,2.792996,-0.530911,-309.999847,-310,17.886738,1.679886,0.924491,297.533997,83.872681,0.059444,-0.025719,-74.486069,0.007593,0.055791,0.015938,0,1,, takeoff
13.433267,-315.643433,-314.449982,2.79525,-0.530308,2.79525,-0.530308,-309.999847,-310,17.889776,1.853118,0.975572,297.529724,85.160812,0.060015,-0.023876,-59.441349,0.007584,0.05586,0.016516,0,1,, takeoff
14.211557,-315.882751,-314.689301,2.798883,-0.529034,2.798883,-0.529034,-309.999847,-310,17.895016,2.148316,1.059245,297.526703,87.330887,0.06116,-0.020665,-42.305363,0.007576,0.055905,0.01673,0,1,, takeoff
14.760419,-316.001465,-314.808014,2.801361,-0.527937,2.801361,-0.527937,-309.999847,-310,17.898642,2.350393,1.113006,297.52597,88.783852,0.061775,-0.018647,-33.97802,0.007558,0.055978,0.016881,0,1,, takeoff
15.654306,-316.141571,-314.94812,2.805214,-0.525502,2.805214,-0.525502,-309.999847,-310,17.904587,2.677731,1.196881,297.524536,91.060051,0.062431,-0.01596,-24.187401,0.007542,0.056027,0.016917,0,1,, takeoff
16.231846,-316.207886,-315.014435,2.807806,-0.523628,2.807806,-0.523628,-309.999847,-310,17.908501,2.890607,1.248464,297.522278,92.480064,0.062571,-0.014708,-19.523003,0.007507,0.056104,0.016989,0,1,, takeoff
17.160204,-316.287079,-315.093628,2.812052,-0.520356,2.812052,-0.520356,-319.999847,-320,17.914957,3.237839,1.330128,297.515106,94.68187,0.062225,-0.013548,-16.586235,0.00748,0.056156,0.017102,0,1,, takeoff
17.791502,-316.32663,-315.133179,2.81511,-0.517983,2.81511,-0.517983,-319.999847,-320,17.919479,3.478603,1.327013,297.507172,96.119743,0.061622,-0.013366,-17.311163,0.007434,0.056241,0.017461,0,1,, takeoff
18.779577,-316.371735,-315.178284,2.813314,-0.520854,2.813314,-0.520854,-319.999847,-320,17.926159,3.863917,1.313045,297.490112,98.262352,0.05955,-0.014026,-18.195913,0.0074,0.056302,0.017857,0,1,, takeoff
19.427286,-316.392914,-315.199463,2.814692,-0.520305,2.814692,-0.520305,-319.999847,-320,17.930294,4.122798,1.260255,297.476227,99.589859,0.059204,-0.01477,-13.035828,0.007441,0.056266,0.01871,0,1,, takeoff
20.406199,-316.415588,-315.222137,2.820575,-0.516488,2.820575,-0.516488,-319.999847,-320,17.936779,4.523951,1.331735,297.452454,101.467743,0.057693,-0.016138,-17.848246,0.007433,0.056294,0.019405,0,1,, takeoff
21.03511,-316.425507,-315.232056,2.82455,-0.513849,2.82455,-0.513849,-319.999847,-320,17.941105,4.788111,1.373706,297.435791,102.586105,0.056448,-0.017135,-14.858344,0.007378,0.056412,0.020593,0,1,, takeoff
22.022108,-316.435486,-315.242035,2.830516,-0.509898,2.830516,-0.509898,-319.999847,-320,17.948147,5.213548,1.440497,297.40976,104.193474,0.054606,-0.01849,-12.877154,0.007341,0.056491,0.021426,0,1,, takeoff
