airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
4.062335,-97.072609,-95.879166,2.978788,1.397705,2.594485,0.116696,-99.999855,-100.0,2.286587,0.0,0.007972,297.868469,279.274384,0.008889,-0.047959,-14.741234,-0.0,0.0,0.0,0.0,0.0,599.208557,, takeoff
4.045959,-97.090759,-95.897316,2.943251,1.280669,2.594389,0.117797,-99.999855,-100.0,2.286631,0.0,0.005527,297.867249,282.666718,0.008681,-0.041234,-12.63443,-0.019967,0.05189,0.0,0.0,1.0,606.271729,, takeoff
4.051408,-97.100502,-95.907059,2.779942,0.760717,2.587209,0.118271,-99.999855,-100.0,2.286627,2.9E-5,-0.008307,297.866364,284.96524,0.008476,-0.037148,-8.489765,-0.018295,0.051888,6.1E-5,0.0,1.0,672.099915,, takeoff
4.10265,-97.111137,-95.917694,2.590108,0.239188,2.55337,0.116727,-99.999855,-100.0,2.286519,2.07E-4,-0.033496,297.864929,288.067047,0.008153,-0.032183,-9.68124,-0.010867,0.051744,1.05E-4,0.0,1.0,847.687134,, takeoff
4.171122,-97.116844,-95.923401,2.526502,0.113376,2.526479,0.113298,-99.999855,-100.0,2.286449,7.38E-4,-0.004622,297.863739,290.096039,0.008227,-0.029264,-13.046247,-0.003417,0.051067,1.77E-4,0.0,1.0,1000.623352,, takeoff
4.360907,-97.12352,-95.930077,2.523059,0.104322,2.523059,0.104322,-99.999855,-100.0,2.286592,0.003928,0.060862,297.861511,292.960602,0.006234,-0.025544,-19.228716,-0.00162,0.05053,2.36E-4,0.0,1.0,1245.44397,, takeoff
4.556368,-97.12693,-95.933487,2.539538,0.096248,2.539538,0.096248,-99.999855,-100.0,2.286862,0.009035,0.101694,297.85907,294.735718,0.005285,-0.023576,-11.887551,-0.00149,0.050461,3.48E-4,0.0,1.0,1403.769043,, takeoff
4.961884,-97.130814,-95.93737,2.577257,0.082442,2.577257,0.082442,-99.999855,-100.0,2.287507,0.023815,0.158302,297.852509,297.17395,-0.00359,-0.021479,-17.824265,-0.001375,0.050791,4.7E-4,0.0,1.0,1617.253784,, takeoff
5.322095,-97.132774,-95.939331,2.606232,0.072662,2.606232,0.072662,-99.999855,-100.0,2.288113,0.040771,0.187745,297.843781,298.69696,-0.008208,-0.020886,-15.42567,-0.001178,0.051545,7.98E-4,0.0,1.0,1743.458374,, takeoff
5.943125,-97.134758,-95.941315,2.644656,0.059695,2.644656,0.059695,-99.999855,-100.0,2.289203,0.077332,0.25035,297.821503,300.629639,0.009653,-0.021654,-12.681353,-0.001038,0.052125,0.001234,0.0,1.0,1891.61499,, takeoff
