airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
6.513291,-87.936813,-86.74337,2.975032,1.373297,2.590917,0.092914,-89.999855,-90,2.28651,0,0.008039,297.868011,277.573853,0.012366,-0.051964,-14.965729,0,0,0,0,0
6.556243,-87.947258,-86.753815,2.973317,1.366493,2.591192,0.092741,-89.999855,-90,2.286537,0,0.006967,297.867157,279.861542,0.012414,-0.047013,-13.640539,0,0,0,0,0
6.61552,-87.959557,-86.766113,2.775731,0.733455,2.5834,0.092351,-89.999855,-90,2.286532,3.50E-05,-0.012226,297.865845,283.240936,0.012349,-0.040476,-8.849756,-0.019521,0.051824,4.30E-05,0,1
6.659655,-87.965988,-86.772545,2.637501,0.341531,2.562377,0.091117,-89.999855,-90,2.286459,1.41E-04,-0.033262,297.864899,285.435211,0.012246,-0.036677,-15.30001,-0.010478,0.051668,1.08E-04,0,1
6.759992,-87.973625,-86.780182,2.510297,0.086035,2.510297,0.086035,-89.999855,-90,2.28628,7.41E-04,-0.019696,297.86319,288.601501,0.012032,-0.031757,-14.932146,-0.004879,0.051248,1.56E-04,0,1
6.878445,-87.977654,-86.78421,2.492951,0.07995,2.492951,0.07995,-89.999855,-90,2.286284,0.002338,0.020969,297.861938,290.609863,0.011837,-0.028947,-8.310084,-0.001229,0.050206,2.41E-04,0,1
7.152801,-87.982414,-86.788971,2.495412,0.067568,2.495412,0.067568,-89.999855,-90,2.286547,0.008779,0.080022,297.859344,293.439636,0.014189,-0.02541,-19.178179,-0.001142,0.049859,3.04E-04,0,1
7.405938,-87.984886,-86.791443,2.507041,0.057849,2.507041,0.057849,-89.999855,-90,2.286884,0.017262,0.11804,297.856567,295.189453,0.0165,-0.023543,-18.816896,-9.65E-04,0.049908,4.33E-04,0,1
7.877779,-87.987656,-86.794212,2.529369,0.043001,2.529369,0.043001,-89.999855,-90,2.287599,0.03811,0.17562,297.849731,297.524658,0.020869,-0.021603,-6.21993,-8.26E-04,0.050141,5.72E-04,0,1
8.265028,-87.989075,-86.795631,2.545821,0.032995,2.545821,0.032995,-89.999855,-90,2.288243,0.059604,0.211695,297.842194,298.967133,0.024075,-0.020885,-15.131463,-6.14E-04,0.050587,9.14E-04,0,1
