airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
0.381454,-26.746269,-25.552826,3.073527,1.369349,2.716371,0.178829,-29.999857,-30.0,18.855347,4.0E-5,-2.68E-4,297.865173,14.382622,-0.046372,-0.034534,-18.480175,-0.0,0.0,0.0,0.0,0.0,607.019775
0.345025,-26.747396,-25.553951,3.071517,1.362744,2.716334,0.178802,-29.999857,-30.0,18.855345,3.9E-5,-1.34E-4,297.864349,13.979847,-0.046363,-0.031241,-12.279662,-0.0,0.0,0.0,0.0,0.0,607.016357
0.296818,-26.748713,-25.555267,2.887468,0.752446,2.715304,0.178567,-29.999857,-30.0,18.855343,3.8E-5,-0.00201,297.863068,13.387705,-0.046469,-0.026896,-18.096188,-0.019468,0.054327,4.1E-5,0.0,1.0,680.471436
0.269151,-26.749395,-25.555952,2.769412,0.384131,2.707351,0.177263,-29.999857,-30.0,18.855322,6.0E-5,-0.01313,297.862122,13.005079,-0.046614,-0.024391,-8.849537,-0.010749,0.054306,1.05E-4,0.0,1.0,794.077087
0.243943,-26.750223,-25.55678,2.641099,0.171748,2.641099,0.171748,-29.999857,-30.0,18.855072,5.64E-4,-0.060226,297.860291,12.455728,-0.045213,-0.021221,-13.761654,-0.005488,0.054147,1.53E-4,0.0,1.0,1018.840149
0.248852,-26.75069,-25.557245,2.593114,0.165334,2.593114,0.165334,-29.999857,-30.0,18.854971,0.002022,0.005192,297.858917,12.109064,-0.047475,-0.019436,-15.876315,-0.002454,0.052822,2.44E-4,0.0,1.0,1183.797485
0.361757,-26.751215,-25.557772,2.570563,0.152253,2.570563,0.152253,-29.999857,-30.0,18.855318,0.008238,0.134185,297.856812,11.623189,-0.048279,-0.017161,-17.959766,-0.002362,0.051862,3.13E-4,0.0,1.0,1426.088989
0.540084,-26.7514,-25.557955,2.574746,0.141883,2.574746,0.141883,-29.999857,-30.0,18.855938,0.016648,0.234138,297.855194,11.324523,-0.045565,-0.0159,-18.632423,-0.002175,0.051411,4.18E-4,0.0,1.0,1573.424683
0.945139,-26.751339,-25.557894,2.592479,0.125354,2.592479,0.125354,-29.999857,-30.0,18.857544,0.038425,0.406776,297.851349,10.918132,-0.035118,-0.01452,-18.412254,-0.002027,0.051495,4.99E-4,0.0,1.0,1763.421753
1.292064,-26.751022,-25.557577,2.606628,0.1144,2.606628,0.1144,-29.999857,-30.0,18.859129,0.060558,0.537511,297.845276,10.676745,-0.026207,-0.014255,-17.221163,-0.001791,0.05185,6.91E-4,0.0,1.0,1867.786011
1.906811,-26.75004,-25.556595,2.626576,0.09947,2.626576,0.09947,-29.999857,-30.0,18.8624,0.107408,0.767228,297.831604,10.361336,-0.021559,-0.01461,-12.83554,-0.001634,0.052133,9.95E-4,0.0,1.0,1992.5802
2.368481,-26.748989,-25.555544,2.638378,0.090773,2.638378,0.090773,-29.999857,-30.0,18.865246,0.148786,0.933368,297.817627,10.183105,-0.023308,-0.015554,-4.862768,-0.001421,0.052532,0.001678,0.0,1.0,2057.030029
3.121603,-26.746714,-25.55327,2.652704,0.079906,2.652704,0.079906,-29.999857,-30.0,18.870613,0.227415,1.207734,297.791321,9.964639,-0.025207,-0.017577,16.778326,-0.001297,0.052768,0.002377,0.0,1.0,2130.576416
3.6554,-26.744675,-25.551229,2.660544,0.074071,2.660544,0.074071,-29.999857,-30.0,18.874979,0.291424,1.403687,297.770355,9.851625,-0.02607,-0.019264,14.541788,-0.001142,0.053054,0.003693,0.0,1.0,2167.057617
4.49127,-26.740734,-25.547291,2.669637,0.067242,2.669637,0.067242,-29.999857,-30.0,18.882778,0.405413,1.710377,297.736389,9.730422,-0.027032,-0.021828,7.271829,-0.001058,0.053211,0.004741,0.0,1.0,2207.304443
5.066142,-26.737469,-25.544024,2.674562,0.063734,2.674562,0.063734,-29.999857,-30.0,18.888849,0.493569,1.923211,297.712463,9.681088,-0.027491,-0.023502,11.973543,-9.61E-4,0.053393,0.006439,0.0,1.0,2226.596924
5.947052,-26.731531,-25.538086,2.680354,0.059723,2.680354,0.059723,-29.999857,-30.0,18.899305,0.644137,2.251405,297.678223,9.652448,-0.028004,-0.025401,15.657461,-9.1E-4,0.053491,0.007635,0.0,1.0,2247.121582
6.543199,-26.726837,-25.533392,2.683625,0.057676,2.683625,0.057676,-29.999857,-30.0,18.907194,0.75669,2.473015,297.657013,9.66223,-0.028175,-0.026239,13.660718,-8.53E-4,0.053607,0.009348,0.0,1.0,2256.508301
