airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
24.877558,-199.853378,-198.659927,3.054566,1.307119,2.716089,0.178862,-199.999863,-200.0,18.855347,4.2E-5,-3.68E-4,297.868317,15.154576,-0.046386,-0.053233,-1666.80896,-0.0,0.0,0.0,0.0,0.0,605.620667,
24.889721,-205.037476,-203.84404,3.052319,1.299855,2.71601,0.178823,-199.999863,-200.0,18.855345,4.1E-5,-1.67E-4,297.867523,14.768172,-0.046376,-0.04836,-1668.23291,-0.0,0.0,0.0,0.0,0.0,605.613403,
24.882034,-213.372696,-212.17926,2.867828,0.688815,2.714744,0.178533,-209.999863,-210.0,18.855343,4.0E-5,-0.00201,297.866211,14.146386,-0.046472,-0.041455,-1669.969849,-0.018569,0.05432,4.0E-5,0.0,1.0,683.059326,
24.893415,-218.558472,-217.365021,2.760122,0.35487,2.706827,0.177219,-209.999863,-210.0,18.85532,6.1E-5,-0.012461,297.865295,13.764108,-0.046617,-0.037718,-1671.022949,-0.00984,0.054295,1.05E-4,0.0,1.0,792.887512,
24.884766,-226.895782,-225.702332,2.678792,0.171413,2.678792,0.171413,-219.999863,-220.0,18.855272,5.21E-4,0.006063,297.863617,13.163578,-0.044855,-0.032529,-1672.232178,-0.00507,0.054137,1.51E-4,0.0,1.0,1024.487549,
24.87517,-232.306732,-231.113281,2.645843,0.164894,2.645843,0.164894,-229.999863,-230.0,18.855259,0.002008,-0.003283,297.862274,12.787492,-0.047071,-0.029665,-1672.969971,-0.002449,0.053576,2.35E-4,0.0,1.0,1189.459839,
24.884069,-240.420807,-239.227371,2.594602,0.151526,2.594602,0.151526,-239.999863,-240.0,18.855499,0.008418,0.11593,297.860046,12.249152,-0.049014,-0.025988,-1673.777222,-0.002356,0.052917,3.02E-4,0.0,1.0,1430.706177,
24.915226,-245.608276,-244.414825,2.586121,0.141483,2.586121,0.141483,-239.999863,-240.0,18.856033,0.016626,0.218528,297.858429,11.924294,-0.048763,-0.023982,-1674.326538,-0.002165,0.051892,4.14E-4,0.0,1.0,1571.049683,
24.901934,-253.947098,-252.753662,2.59619,0.1243,2.59619,0.1243,-249.999863,-250.0,18.857653,0.039418,0.412806,297.854645,11.437863,-0.051611,-0.021373,-1674.794067,-0.002021,0.051722,4.94E-4,0.0,1.0,1764.565918,
24.944853,-259.134552,-257.941101,2.608136,0.113776,2.608136,0.113776,-259.999847,-260.0,18.85918,0.06098,0.54066,297.848694,11.160329,-0.057422,-0.020523,-1675.161377,-0.001776,0.051924,6.84E-4,0.0,1.0,1863.384766,
