airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
Command: takeoff
5.293478,-96.987549,-95.794106,2.97974,1.396974,2.592889,0.107472,-99.999855,-100,2.286308,0,0.005426,297.871155,272.985443,0.010238,-0.071804,-12.369254,0,0,0,0,0,599.445557
5.301315,-97.019188,-95.825745,2.937485,1.256299,2.593016,0.108069,-99.999855,-100,2.286337,0,0.002043,297.869904,276.511993,0.010105,-0.061509,-18.985268,-0.019957,0.051858,0,0,1,606.51416
5.319918,-97.035645,-95.842201,2.775162,0.739656,2.58572,0.108184,-99.999855,-100,2.286319,3.20E-05,-0.012226,297.868988,278.900391,0.009954,-0.055423,-20.761034,-0.017947,0.05186,6.30E-05,0,1,672.137634
5.361731,-97.053612,-95.860168,2.585647,0.223988,2.550304,0.106177,-99.999855,-100,2.286193,2.12E-04,-0.039358,297.867523,282.207886,0.009753,-0.047989,-18.553623,-0.010567,0.051714,1.08E-04,0,1,846.55719
5.470132,-97.067383,-95.87394,2.509175,0.099896,2.509175,0.099896,-99.999855,-100,2.286088,0.001305,0.006163,297.865692,285.517426,0.009729,-0.041545,-8.957894,-0.0032,0.051006,1.82E-04,0,1,1078.570679
5.60228,-97.074509,-95.881065,2.505164,0.093356,2.505164,0.093356,-99.999855,-100,2.286182,0.003741,0.048904,297.864105,287.647217,0.011293,-0.037869,-18.205942,-0.001427,0.050184,2.73E-04,0,1,1241.175659
5.906981,-97.082787,-95.889343,2.523037,0.080962,2.523037,0.080962,-99.999855,-100,2.28658,0.012375,0.109097,297.860382,290.693451,0.014849,-0.033273,-8.403219,-0.001334,0.050103,3.53E-04,0,1,1473.001343
6.184588,-97.086998,-95.893555,2.542469,0.071848,2.542469,0.071848,-99.999855,-100,2.287003,0.022995,0.146478,297.855652,292.607605,0.019036,-0.030964,-17.03163,-0.001219,0.050299,4.61E-04,0,1,1610.873901
6.535895,-97.090485,-95.897034,2.564713,0.062332,2.564713,0.062332,-99.999855,-100,2.287571,0.039514,0.179706,297.847534,294.488678,0.024464,-0.029329,-8.290024,-0.001026,0.050849,7.75E-04,0,1,1736.578857
