airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
Command: takeoff,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,317.980011,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,317.980011,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,0,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,-0.001008,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,-0.001008,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,-0.001008,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,-0.001008,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0,-0.001008,0,0,0,0
0,0,1.193444,12,40,0,0,0,0,0,0,0,137.979996,0,0,0,0,0.000252,-0.001008,0.000126,0,0,0
0,11.395755,12.589199,12,40,0,0,10.000126,10,58.989975,0,0.0137,317.980011,0.539437,0.009849,-0.247802,1063.244507,0.000252,-0.001008,0.000126,0,0,0
0,48.689701,49.883144,12,40,0,0,50.000141,50,58.990036,0,0.001038,317.980011,10.908033,0.037615,-0.972554,1802.852661,0.000252,-0.001008,0.000126,0,0,0
0,56.789635,57.983078,12,40,0,0,50.000141,50,58.99004,0,-0.0001,317.979553,16.494431,0.042418,-1.095648,1828.044189,0.000252,-0.001008,0.000126,0,0,0
0,65.140816,66.334259,12,40,0,0,60.000141,60,58.990036,0,-0.000804,317.978485,23.491194,0.04665,-1.123265,1841.175171,0.000252,-0.001008,0.000126,0,0,0
0,72.737602,73.931046,12,40,0,0,70.000145,70,58.990032,0,-0.000971,317.977478,30.870287,0.049505,-1.085395,1844.82666,0.000252,-0.001008,0.000126,0,0,0
0,80.180962,81.374405,12,40,0,0,80.000145,80,58.990028,0,-0.001273,317.976471,38.930515,0.052027,-1.011275,1843.070679,0.000252,-0.001008,0.000126,0,0,0
0,96.533302,97.726746,12,40,0,0,100.000145,100,58.990017,0,-0.000703,317.974335,57.87291,0.055236,-0.810379,1849.444214,0.000252,-0.001008,0.000126,0,0,0
0,103.718277,104.91172,12,40,0,0,100.000145,100,58.990017,0,-0.000703,317.973297,67.59227,0.05638,-0.716532,1830.487183,0.000252,-0.001008,0.000126,0,0,0
0,110.884003,112.077446,12,40,0,0,110.000145,110,58.990013,0,-0.000636,317.97229,77.490433,0.057151,-0.632234,1813.374023,0.000252,-0.001008,0.000126,0,0,0
0,118.03476,119.228203,12,40,0,0,120.000145,120,58.990009,0,-0.000603,317.971252,87.438004,0.05783,-0.557795,1798.037109,0.000252,-0.001008,0.000126,0,0,0
0,125.192177,126.38562,12,40,0,0,120.000145,120,58.990005,0,-0.000603,317.970215,97.311317,0.058285,-0.492121,1784.966797,0.000252,-0.001008,0.000126,0,0,0
0,132.318161,133.511597,12,40,0,0,130.000137,130,58.990005,0,-0.000502,317.969177,106.993645,0.058686,-0.434179,1772.660156,0.000252,-0.001008,0.000126,0,0,0
0,139.437988,140.631439,12,40,0,0,140.000137,140,58.990002,0,-0.000469,317.96814,116.376282,0.058954,-0.383059,1761.851685,0.000252,-0.001008,0.000126,0,0,0
0,146.55304,147.746475,12,40,0,0,150.000137,150,58.990002,0,-0.000469,317.967102,125.359474,0.059189,-0.337958,1752.399414,0.000252,-0.001008,0.000126,0,0,0
0,153.664352,154.857788,12,40,0,0,150.000137,150,58.989815,0,-0.037114,317.966034,133.853226,0.059328,-0.298173,1744.164795,0.000252,-0.001008,0.000126,0,0,0
0,160.77272,161.966171,12,40,0,0,160.000137,160,58.989712,0,-0.017318,317.965027,141.777878,0.059494,-0.263069,1737.016479,0.000252,-0.001008,0.000126,0,0,0
0,167.878845,169.072296,12,40,0,0,170.000137,170,58.989658,0,0.016313,317.963989,149.064529,0.059605,-0.232093,1730.833252,0.000252,-0.001008,0.000126,0,0,0
0,174.983047,176.176483,12,40,0,0,170.000137,170,58.988468,0.000438,-4.435332,317.963074,155.655258,0.058229,-0.204753,1725.496338,0.000252,-0.001008,0.000126,0,0,0
0,182.085983,183.279419,12,40,0,0,180.000137,180,58.989483,0.000585,0.102967,317.962067,161.503632,0.057931,-0.18064,1720.913574,0.000252,-0.001008,0.000126,0,0,0
0,189.207245,190.400696,12,40,0,0,190.000137,190,58.989784,0.000571,0.050412,317.960999,166.57457,0.05842,-0.159372,1717.654663,0.000252,-0.001008,0.000126,0,0,0
